gridName,jsonPath,diagnosticPngPath,dryLandCellCount,totalContourSegments
22_Santa_Cruz,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\22_Santa_Cruz_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\22_Santa_Cruz_inundation_limits_diagnostic.png,1628545,2710
23_La_Selva,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\23_La_Selva_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\23_La_Selva_inundation_limits_diagnostic.png,512978,971
24_Castroville,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\24_Castroville_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\24_Castroville_inundation_limits_diagnostic.png,2810683,11796
25_Seaside,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\25_Seaside_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\25_Seaside_inundation_limits_diagnostic.png,1285551,1357
26_Monterey,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\26_Monterey_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\26_Monterey_inundation_limits_diagnostic.png,729514,2831
27_Carmel,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\27_Carmel_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\27_Carmel_inundation_limits_diagnostic.png,83930,1350
28_Yankee_Point,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\28_Yankee_Point_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\28_Yankee_Point_inundation_limits_diagnostic.png,57700,1196
29_San_Carpoforo,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\29_San_Carpoforo_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\29_San_Carpoforo_inundation_limits_diagnostic.png,55445,404
30_San_Simeon,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\30_San_Simeon_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\30_San_Simeon_inundation_limits_diagnostic.png,254798,798
31_Cambria,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\31_Cambria_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\31_Cambria_inundation_limits_diagnostic.png,169970,110
32_Morro_Bay,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\32_Morro_Bay_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\32_Morro_Bay_inundation_limits_diagnostic.png,2647606,3792
33_Diablo_Canyon,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\33_Diablo_Canyon_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\33_Diablo_Canyon_inundation_limits_diagnostic.png,45162,828
34_Avila_Beach,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\34_Avila_Beach_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\34_Avila_Beach_inundation_limits_diagnostic.png,3634042,2773
35_Santa_Barbara,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\35_Santa_Barbara_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\35_Santa_Barbara_inundation_limits_diagnostic.png,1796411,2787
36_Rincon,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\36_Rincon_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\36_Rincon_inundation_limits_diagnostic.png,704577,1398
37_Ventura,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\37_Ventura_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\37_Ventura_inundation_limits_diagnostic.png,164227,1371
38_Oxnard,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\38_Oxnard_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\38_Oxnard_inundation_limits_diagnostic.png,646737,3382
39_Port_Hueneme,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\39_Port_Hueneme_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\39_Port_Hueneme_inundation_limits_diagnostic.png,243881,817
40_Point_Mugu,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\40_Point_Mugu_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\40_Point_Mugu_inundation_limits_diagnostic.png,396966,2614
41_Malibu_W,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\41_Malibu_W_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\41_Malibu_W_inundation_limits_diagnostic.png,303416,875
42_Malibu_E,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\42_Malibu_E_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\42_Malibu_E_inundation_limits_diagnostic.png,500267,2659
43_Santa_Monica,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\43_Santa_Monica_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\43_Santa_Monica_inundation_limits_diagnostic.png,646485,3475
44_Manhattan_Beach,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\44_Manhattan_Beach_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\44_Manhattan_Beach_inundation_limits_diagnostic.png,340478,717
45_Redondo_Beach,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\45_Redondo_Beach_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\45_Redondo_Beach_inundation_limits_diagnostic.png,95722,965
46_POLA,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\46_POLA_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\46_POLA_inundation_limits_diagnostic.png,2749058,17843
47_Seal_Beach,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\47_Seal_Beach_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\47_Seal_Beach_inundation_limits_diagnostic.png,101101,3174
48_Huntington_Beach,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\48_Huntington_Beach_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\48_Huntington_Beach_inundation_limits_diagnostic.png,1081900,7776
49_Newport_Beach,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\49_Newport_Beach_inundation_limits.json,E:\Dropbox\projects\CGS_24-26\CODEX_access\PTHA_lookup\inundation_limits\49_Newport_Beach_inundation_limits_diagnostic.png,434346,4825
